,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,795,795,"{'x': 3.3054084065334965, 'y': 3.501606718855648}","{'x': -3.3151004253851344, 'y': -1.7236849230106162}",0.15000000596046448,0:0
0,2,795,0,"{'x': 3.3054084065334965, 'y': 3.501606718855648}","{'x': -3.3151004253851344, 'y': -1.7236849230106162}",0.15000000596046448,0:0
0,3,795,0,"{'x': 3.3054084065334965, 'y': 3.501606718855648}","{'x': -3.3151004253851344, 'y': -1.7236849230106162}",0.15000000596046448,0:46
0,4,971,176,"{'x': 3.5803251944768526, 'y': 2.6103540304033226}","{'x': -3.315838443370084, 'y': -1.8098121079221083}",0.15000000596046448,0:46
0,5,971,0,"{'x': 3.5803251944768526, 'y': 2.6103540304033226}","{'x': -3.315838443370084, 'y': -1.8098121079221083}",0.15000000596046448,1:25
0,6,971,0,"{'x': 3.580843784688721, 'y': 2.61034675863666}","{'x': -3.315838443370084, 'y': -1.8098121079221083}",0.15000000596046448,2:5
0,7,971,0,"{'x': 3.5812136613118746, 'y': 2.6104694846002525}","{'x': -3.315838443370084, 'y': -1.8098121079221083}",0.15000000596046448,2:5
0,8,971,0,"{'x': 3.5812136613118746, 'y': 2.6104694846002525}","{'x': -3.315838443370084, 'y': -1.8098121079221083}",0.15000000596046448,2:5
0,9,971,0,"{'x': 3.5812136613118746, 'y': 2.6104694846002525}","{'x': -3.315838443370084, 'y': -1.8098121079221083}",0.15000000596046448,2:29
0,10,1172,201,"{'x': 2.1676581056083304, 'y': 5.40631046434415}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,2:29
0,11,1172,0,"{'x': 2.1676581056083304, 'y': 5.40631046434415}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,2:43
0,12,1230,58,"{'x': 3.8628017587680894, 'y': 6.811955346503473}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,2:44
0,13,1230,0,"{'x': 3.8628017587680894, 'y': 6.811955346503473}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,3:24
0,14,1230,0,"{'x': 3.863576291324623, 'y': 6.8116530317451724}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,4:3
0,15,1230,0,"{'x': 3.8635266555566865, 'y': 6.8113502401497135}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,4:3
0,16,1230,0,"{'x': 3.8635266555566865, 'y': 6.8113502401497135}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,4:43
0,17,1230,0,"{'x': 3.863072930099495, 'y': 6.811335458197809}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,5:8
0,18,1230,0,"{'x': 3.863282783152588, 'y': 6.811454190650202}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,5:8
0,19,1230,0,"{'x': 3.863282783152588, 'y': 6.811454190650202}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,5:22
0,20,1230,0,"{'x': 3.9129991067667085, 'y': 6.389178647437311}","{'x': -3.3330139608445073, 'y': -1.8209236764776913}",0.15000000596046448,5:48
