%time,field.x,field.y,field.z
16266000000,-2.0000208568052034,-0.49999055882140475,-0.0010013929435414605
16298000000,-2.0000208600220644,-0.49999053988844927,-0.001001392943570066
16333000000,-2.0000208633364203,-0.499990520381724,-0.0010013929435995113
16365000000,-2.0000208665533092,-0.49999050144868323,-0.00100139294362811
16399000000,-2.0000208697702124,-0.4999904825156006,-0.0010013929436567016
16432000000,-2.0000208730846114,-0.4999904630087444,-0.0010013929436861468
16464000000,-2.000020876301542,-0.4999904440755766,-0.0010013929437147455
16499000000,-2.0000208795184853,-0.49999042514236697,-0.0010013929437433476
16533000000,-2.0000208828329264,-0.49999040563537983,-0.0010013929437727928
16566000000,-2.000020886049897,-0.49999038670208507,-0.001001392943801388
16599000000,-2.000020889266881,-0.4999903677687483,-0.0010013929438299832
16633000000,-2.000020892581363,-0.4999903482616303,-0.0010013929438594492
16665000000,-2.0000208957983747,-0.4999903293282084,-0.0010013929438880374
16699000000,-2.000020899015399,-0.4999903103947445,-0.0010013929439166326
16733000000,-2.000020902329925,-0.49999029088749564,-0.0010013929439460882
16766000000,-2.0000209055469784,-0.49999027195394663,-0.0010013929439746903
16798000000,-2.0000209087640455,-0.49999025302035577,-0.0010013929440032786
16833000000,-2.000020912078613,-0.4999902335129759,-0.001001392944032748
16866000000,-2.000020915295707,-0.4999902145792999,-0.0010013929440613467
16904000000,-2.000020918512814,-0.4999901956455817,-0.001001392944089928
16944000000,-2.0000209218274234,-0.49999017613807073,-0.001001392944119394
16980000000,-2.0000209250445575,-0.49999015720426754,-0.001001392944148003
17018000000,-2.000020928261705,-0.4999901382704225,-0.0010013929441765983
17053000000,-2.000020931576356,-0.49999011876278066,-0.0010013929442060608
17094000000,-2.000020934793531,-0.4999900998288504,-0.001001392944234663
17129000000,-2.000020938010721,-0.49999008089487823,-0.0010013929442632581
17160000000,-2.000020941325415,-0.4999900613871056,-0.0010013929442927241
17187000000,-2.000020944542632,-0.4999900424530483,-0.0010013929443213124
17221000000,-2.0000209477598623,-0.499990023518949,-0.001001392944349925
17265000000,-2.0000209510745983,-0.4999900040110454,-0.001001392944379377
17303000000,-2.0000209542918554,-0.4999899850768611,-0.0010013929444079826
17304000000,-2.000020957509126,-0.4999899661426348,-0.0010013929444365778
17333000000,-2.0000209608239037,-0.4999899466346001,-0.0010013929444660438
17366000000,-2.0000209640412017,-0.49998992770028855,-0.0010013929444946564
17398000000,-2.0000209672585125,-0.49998990876593513,-0.001001392944523255
17432000000,-2.000020970573333,-0.49998988925776944,-0.001001392944552721
17468000000,-2.000020973790673,-0.49998987032333086,-0.0010013929445813266
17499000000,-2.000020977008026,-0.4999898513888504,-0.0010013929446099253
17533000000,-2.000020980322889,-0.4999898318805537,-0.0010013929446393809
17568000000,-2.0000209835402694,-0.49998981294598815,-0.00100139294466799
17600000000,-2.0000209867576633,-0.4999897940113805,-0.0010013929446965886
17645000000,-2.0000209900725676,-0.49998977450295295,-0.0010013929447260615
17671000000,-2.0000209932899886,-0.4999897555682601,-0.0010013929447546671
17699000000,-2.000020996507423,-0.49998973663352536,-0.0010013929447832727
17733000000,-2.000020999822369,-0.499989717124967,-0.0010013929448127491
17770000000,-2.0000210030398304,-0.49998969819014705,-0.0010013929448413478
17801000000,-2.000021006257307,-0.49998967925528526,-0.00100139294486995
17833000000,-2.000021009572296,-0.49998965974659587,-0.0010013929448994263
17867000000,-2.0000210127897997,-0.4999896408116489,-0.0010013929449280354
17898000000,-2.0000210160073166,-0.4999896218766601,-0.0010013929449566236
17933000000,-2.000021019322348,-0.4999896023678399,-0.001001392944986093
17966000000,-2.000021022539892,-0.4999895834327658,-0.0010013929450147022
17999000000,-2.000021025757449,-0.49998956449764975,-0.0010013929450433147
18033000000,-2.0000210290725224,-0.49998954498869846,-0.0010013929450727772
18066000000,-2.000021032290107,-0.49998952605349717,-0.0010013929451014071
18106000000,-2.0000210355077046,-0.49998950711825424,-0.0010013929451299988
18148000000,-2.00002103882282,-0.499989487609172,-0.0010013929451594683
18167000000,-2.000021042040446,-0.4999894686738439,-0.0010013929451880808
18209000000,-2.000021045258086,-0.4999894497384737,-0.001001392945216676
18241000000,-2.000021048573244,-0.4999894302292605,-0.001001392945246156
18266000000,-2.000021051790911,-0.4999894112938051,-0.001001392945274758
18300000000,-2.0000210550085913,-0.49998939235830775,-0.0010013929453033775
18333000000,-2.000021058323791,-0.4999893728489636,-0.001001392945332847
18366000000,-2.0000210615414984,-0.4999893539133813,-0.001001392945361449
18398000000,-2.000021064759219,-0.4999893349777568,-0.0010013929453900547
18433000000,-2.0000210680744606,-0.49998931546828174,-0.001001392945419538
18466000000,-2.0000210712922084,-0.49998929653257207,-0.0010013929454481471
18499000000,-2.000021074509971,-0.49998927759682044,-0.0010013929454767527
18533000000,-2.0000210778252554,-0.4999892580872144,-0.0010013929455062291
18566000000,-2.000021081043046,-0.4999892391513778,-0.0010013929455348451
18599000000,-2.0000210842608492,-0.4999892202154992,-0.0010013929455634542
18633000000,-2.000021087576176,-0.49998920070576225,-0.0010013929455929202
18666000000,-2.0000210907940064,-0.49998918176979845,-0.0010013929456215466
18699000000,-2.00002109401185,-0.4999891628337929,-0.0010013929456501348
18733000000,-2.000021097327218,-0.49998914332392497,-0.0010013929456796147
18766000000,-2.000021100545089,-0.4999891243878341,-0.0010013929457082342
18799000000,-2.000021103762973,-0.4999891054517012,-0.0010013929457368537
18833000000,-2.0000211070783833,-0.49998908594170227,-0.001001392945766344
18867000000,-2.0000211102962964,-0.49998906700548434,-0.0010013929457949426
18899000000,-2.0000211135142227,-0.4999890480692245,-0.0010013929458235517
18933000000,-2.000021116829676,-0.49998902855909455,-0.001001392945853035
18966000000,-2.0000211200476294,-0.4999890096227495,-0.0010013929458816476
18999000000,-2.0000211232655962,-0.49998899068636254,-0.0010013929459102497
19036000000,-2.000021126581091,-0.49998897117610175,-0.001001392945939733
19066000000,-2.0000211297990855,-0.4999889522396295,-0.0010013929459683525
19101000000,-2.000021133017093,-0.49998893330311545,-0.001001392945996965
19133000000,-2.00002113633263,-0.4999889137927236,-0.0010013929460264553
19166000000,-2.000021139550664,-0.49998889485612436,-0.001001392946055061
19199000000,-2.0000211427687127,-0.49998887591948316,-0.001001392946083677
19233000000,-2.0000211460842925,-0.4999888564089605,-0.0010013929461131672
19266000000,-2.0000211493023694,-0.499988837472234,-0.0010013929461417832
