,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,296,296,"{'x': 3.245121175268637, 'y': 1.7149694064793226}","{'x': 0.5319591222014566, 'y': -2.2149259844956037}",0.15000000596046448,0:0
0,2,296,0,"{'x': 3.245121175268637, 'y': 1.7149694064793226}","{'x': 0.5319591222014566, 'y': -2.2149259844956037}",0.15000000596046448,0:0
0,3,296,0,"{'x': 3.245121175268637, 'y': 1.7149694064793226}","{'x': 0.5319591222014566, 'y': -2.2149259844956037}",0.15000000596046448,0:5
0,4,296,0,"{'x': 3.082295114019858, 'y': 2.0958630168971655}","{'x': 0.5319591222014566, 'y': -2.2149259844956037}",0.15000000596046448,0:5
0,5,296,0,"{'x': 3.082295114019858, 'y': 2.0958630168971655}","{'x': 0.5319591222014566, 'y': -2.2149259844956037}",0.15000000596046448,0:14
0,6,296,0,"{'x': 2.383137399176108, 'y': 1.5790757933792707}","{'x': 0.5319591222014566, 'y': -2.2149259844956037}",0.15000000596046448,0:16
0,7,554,258,"{'x': 2.817657881302557, 'y': 1.6263975437397735}","{'x': -0.08490231819483274, 'y': -2.2149259844956037}",0.15000000596046448,0:27
0,8,602,48,"{'x': 3.2071940377439825, 'y': 1.0162594405597518}","{'x': -0.08490231819483274, 'y': -2.2335678579775937}",0.15000000596046448,0:38
0,9,619,17,"{'x': 2.710920545027199, 'y': 2.45625627264381}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,0:38
0,10,619,0,"{'x': 2.710920545027199, 'y': 2.45625627264381}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,0:39
0,11,619,0,"{'x': 2.7596180166458515, 'y': 2.509624014049774}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,0:39
0,12,619,0,"{'x': 2.7596504415726093, 'y': 2.5096629656851346}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,0:49
0,13,747,128,"{'x': 2.263633861090686, 'y': 3.2321415424060227}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,0:58
0,14,834,87,"{'x': 3.332669481363775, 'y': 3.259222179767092}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,1:7
0,15,1077,243,"{'x': 2.453001985608081, 'y': 3.1552534363214173}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,1:14
0,16,1077,0,"{'x': 2.839254699971231, 'y': 3.608876374368476}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,1:23
0,17,1262,185,"{'x': 3.7123010408228634, 'y': 5.015962944002339}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,1:23
0,18,1262,0,"{'x': 3.7123010408228634, 'y': 5.015962944002339}","{'x': -0.08490231819483274, 'y': -2.2452298756868876}",0.15000000596046448,1:39
