%time,field.x,field.y,field.z
1659374356414746284,0.9026558995246887,-0.23350003361701965,0.0
1659374356444180250,0.8911488056182861,-0.22952468693256378,0.0
1659374356499323844,0.8844497799873352,-0.22721202671527863,0.0
1659374356544766664,0.8724162578582764,-0.2230551540851593,0.0
1659374356600088596,0.8657668828964233,-0.2207537591457367,0.0
1659374356623468399,0.8563965559005737,-0.217492014169693,0.0
1659374356680607795,0.8498492240905762,-0.21520549058914185,0.0
1659374356709061861,0.8401368856430054,-0.21177177131175995,0.0
1659374356765189409,0.833325207233429,-0.20932190120220184,0.0
1659374356811286926,0.8209695219993591,-0.20486120879650116,0.0
1659374356867340326,0.8143730759620667,-0.20248590409755707,0.0
1659374356891093492,0.8050416111946106,-0.199114590883255,0.0
1659374356950248718,0.7984769344329834,-0.1967259645462036,0.0
1659374356995741367,0.7916805148124695,-0.19423402845859528,0.0
1659374357038115262,0.7837187051773071,-0.19131781160831451,0.0
1659374357086293458,0.776985764503479,-0.18887342512607574,0.0
1659374357130065679,0.7670863270759583,-0.1852865070104599,0.0
1659374357178200721,0.76054447889328,-0.18290920555591583,0.0
1659374357222755670,0.7503207921981812,-0.17917710542678833,0.0
1659374357268373727,0.7438085675239563,-0.17679232358932495,0.0
1659374357317645072,0.7314243316650391,-0.17226189374923706,0.0
1659374357362205982,0.7249580025672913,-0.16989898681640625,0.0
1659374357410197734,0.715158224105835,-0.16626083850860596,0.0
1659374357456765651,0.7086001634597778,-0.1637815237045288,0.0
1659374357456928253,0.7000080347061157,-0.16052724421024323,0.0
1659374357504133701,0.6934245824813843,-0.15804356336593628,0.0
1659374357534739017,0.6831018328666687,-0.15414205193519592,0.0
1659374357590261220,0.6764783263206482,-0.1516212373971939,0.0
1659374357639772653,0.6641070246696472,-0.14691144227981567,0.0
1659374357688210248,0.6575031280517578,-0.14441025257110596,0.0
1659374357738726854,0.6508278250694275,-0.14188317954540253,0.0
1659374357785929679,0.6435650587081909,-0.13912074267864227,0.0
1659374357830519199,0.6366609930992126,-0.13648319244384766,0.0
