%time,field.x,field.y,field.z
30587000000,-2.0000222357357225,-0.49998244651455986,-0.0010013929558109341
30624000000,-2.00002223905603,-0.4999824269893632,-0.0010013929558405146
30653000000,-2.000022242278695,-0.4999824080383944,-0.0010013929558692174
30687000000,-2.0000222455013734,-0.4999823890873836,-0.0010013929558979305
30721000000,-2.0000222488217227,-0.49998236956205583,-0.0010013929559274971
30753000000,-2.0000222520444284,-0.4999823506109597,-0.0010013929559562033
30787000000,-2.0000222552671474,-0.49998233165982164,-0.0010013929559849234
30822000000,-2.0000222585875385,-0.4999823121343627,-0.001001392956014497
30854000000,-2.000022261810285,-0.49998229318313947,-0.0010013929560432101
30893000000,-2.0000222650330466,-0.49998227423187425,-0.0010013929560719233
30933000000,-2.0000222683534807,-0.49998225470628427,-0.0010013929561014934
30968000000,-2.000022271576269,-0.4999822357549337,-0.0010013929561302065
30999000000,-2.000022274799071,-0.49998221680354127,-0.0010013929561589092
31029000000,-2.0000222781195474,-0.4999821972778204,-0.0010013929561884759
31061000000,-2.0000222813423765,-0.49998217832634256,-0.001001392956217196
31094000000,-2.0000222845652185,-0.49998215937482277,-0.001001392956245916
31126000000,-2.000022287885737,-0.4999821398489707,-0.0010013929562754827
31156000000,-2.0000222911086065,-0.49998212089736577,-0.0010013929563041993
31189000000,-2.000022294331489,-0.4999821019457188,-0.0010013929563329263
31220000000,-2.00002229765205,-0.49998208241973574,-0.0010013929563625033
31255000000,-2.0000223008749614,-0.4999820634680035,-0.001001392956391213
31287000000,-2.0000223040978864,-0.4999820445162294,-0.0010013929564199192
31321000000,-2.0000223074184897,-0.49998202499011524,-0.001001392956449479
31353000000,-2.000022310641442,-0.4999820060382558,-0.0010013929564782129
31387000000,-2.000022313864407,-0.4999819870863546,-0.001001392956506919
31421000000,-2.0000223171850524,-0.4999819675601093,-0.0010013929565365134
31454000000,-2.000022320408045,-0.4999819486081227,-0.0010013929565652092
31488000000,-2.000022323631051,-0.4999819296560941,-0.0010013929565939328
31522000000,-2.000022326951738,-0.49998191012971765,-0.0010013929566235341
31554000000,-2.0000223301747715,-0.4999818911776038,-0.0010013929566522438
31587000000,-2.0000223333978195,-0.499981872225448,-0.0010013929566809535
31621000000,-2.0000223367185495,-0.4999818526989404,-0.001001392956710541
31655000000,-2.0000223399416246,-0.4999818337466994,-0.0010013929567392471
31690000000,-2.0000223431647135,-0.4999818147944165,-0.0010013929567679603
31721000000,-2.0000223464854856,-0.4999817952677778,-0.001001392956797558
31755000000,-2.0000223497086016,-0.49998177631540947,-0.0010013929568262608
31787000000,-2.0000223529317314,-0.4999817573629993,-0.001001392956854981
31821000000,-2.000022356252545,-0.49998173783622973,-0.001001392956884565
31854000000,-2.000022359475702,-0.49998171888373416,-0.0010013929569132815
31887000000,-2.0000223626988722,-0.4999816999311966,-0.0010013929569419946
31921000000,-2.0000223660197283,-0.49998168040429597,-0.001001392956971582
31954000000,-2.0000223692429264,-0.49998166145167316,-0.0010013929570003022
31987000000,-2.000022372466139,-0.4999816424990084,-0.0010013929570290327
32021000000,-2.000022375787038,-0.4999816229719767,-0.0010013929570586166
32054000000,-2.0000223790102774,-0.4999816040192267,-0.0010013929570873228
32084000000,-2.00002238223353,-0.49998158506643464,-0.0010013929571160533
32121000000,-2.000022385554471,-0.4999815655392716,-0.0010013929571456373
32155000000,-2.000022388777751,-0.49998154658639454,-0.0010013929571743435
32187000000,-2.000022392001044,-0.49998152763347536,-0.0010013929572030705
32221000000,-2.000022395322027,-0.49998150810618125,-0.0010013929572326719
32254000000,-2.0000223985453474,-0.4999814891531768,-0.0010013929572613815
32288000000,-2.0000224017686814,-0.49998147020013023,-0.0010013929572901016
32321000000,-2.0000224050897075,-0.49998145067270516,-0.0010013929573196995
32354000000,-2.0000224083130704,-0.4999814317195735,-0.001001392957348416
32387000000,-1.9995843080259599,-0.49998114304497693,-0.0010010684811633738
32421000000,-1.9982389158673024,-0.49998078028113874,-0.001001134076983691
32457000000,-1.9960640604339202,-0.49998025845977934,-0.0010012251533943022
32498000000,-1.993039741833706,-0.49997962887718367,-0.0010013548218113198
32522000000,-1.9890600778594805,-0.49997897271229613,-0.0010015308484970925
