%time,field.x,field.y,field.z
18398000000,-2.000021064759219,-0.4999893349777568,-0.0010013929453900547
18432000000,-2.0000210680744606,-0.49998931546828174,-0.001001392945419538
18467000000,-2.0000210712922084,-0.49998929653257207,-0.0010013929454481471
18497000000,-2.000021074509971,-0.49998927759682044,-0.0010013929454767527
18526000000,-2.0000210778252554,-0.4999892580872144,-0.0010013929455062291
18564000000,-2.000021081043046,-0.4999892391513778,-0.0010013929455348451
18598000000,-2.0000210842608492,-0.4999892202154992,-0.0010013929455634542
18630000000,-2.000021087576176,-0.49998920070576225,-0.0010013929455929202
18664000000,-2.0000210907940064,-0.49998918176979845,-0.0010013929456215466
18702000000,-2.00002109401185,-0.4999891628337929,-0.0010013929456501348
18742000000,-2.000021097327218,-0.49998914332392497,-0.0010013929456796147
18785000000,-2.000021100545089,-0.4999891243878341,-0.0010013929457082342
18819000000,-2.000021103762973,-0.4999891054517012,-0.0010013929457368537
18850000000,-2.0000211070783833,-0.49998908594170227,-0.001001392945766344
18884000000,-2.0000211102962964,-0.49998906700548434,-0.0010013929457949426
18919000000,-2.0000211135142227,-0.4999890480692245,-0.0010013929458235517
18959000000,-2.000021116829676,-0.49998902855909455,-0.001001392945853035
18996000000,-2.0000211200476294,-0.4999890096227495,-0.0010013929458816476
19036000000,-2.0000211232655962,-0.49998899068636254,-0.0010013929459102497
19036000000,-2.000021126581091,-0.49998897117610175,-0.001001392945939733
19066000000,-2.0000211297990855,-0.4999889522396295,-0.0010013929459683525
19095000000,-2.000021133017093,-0.49998893330311545,-0.001001392945996965
19128000000,-2.00002113633263,-0.4999889137927236,-0.0010013929460264553
19164000000,-2.000021139550664,-0.49998889485612436,-0.001001392946055061
19198000000,-2.0000211427687127,-0.49998887591948316,-0.001001392946083677
19232000000,-2.000590290273682,-0.499988802281181,-0.0010018929954563605
19263000000,-2.0021986107608387,-0.4999890619924199,-0.001001959096642236
19302000000,-2.004849438135517,-0.49998952076934555,-0.0010020554727878835
19331000000,-2.008515292891707,-0.499993520413916,-0.0010019221957063597
19364000000,-2.0119193290120516,-0.5000117045650917,-0.0010008551324610995
19397000000,-2.0152738667930237,-0.5000427398170774,-0.0010020362719201127
19431000000,-2.0191820016914885,-0.5001099011160896,-0.0010015742156758885
19464000000,-2.0229750552763357,-0.5002027416744408,-0.001001715629116634
19497000000,-2.026963613185544,-0.5003080934940295,-0.001002181148092498
19530000000,-2.031418645774839,-0.5004474129991736,-0.0010022021237285836
19564000000,-2.035617509642342,-0.5006083382469068,-0.0010009498055161964
19598000000,-2.039701836457429,-0.5007999695849947,-0.0010021708008521937
19631000000,-2.043948013243449,-0.50103435494535,-0.0010021337774121716
19663000000,-2.0479302320226633,-0.5012861252870481,-0.001001614725974393
19697000000,-2.0516755027777243,-0.5015556799426021,-0.0010015977909618133
19734000000,-2.0552788376337547,-0.5018468430774496,-0.0010015939628804822
19775000000,-2.058529310657341,-0.5021391053053691,-0.001001599954905858
19797000000,-2.0615454496052945,-0.502440112705616,-0.0010014886778167247
19831000000,-2.0643984819843535,-0.5027553784204205,-0.0010004560367696605
19867000000,-2.06684054199899,-0.5030627232731443,-0.0010004527899900376
19905000000,-2.0688665989031505,-0.5033530716516174,-0.0010004545412630773
19939000000,-2.0704280445870613,-0.5036097028189934,-0.0010004656147282569
19964000000,-2.071350894284515,-0.5037841704687406,-0.001000483178520424
19997000000,-2.071706166491051,-0.5038633498729177,-0.001000612315371456
20031000000,-2.071506771244285,-0.5038182508769797,-0.001000662069141664
20064000000,-2.0708799179458928,-0.5036487530018038,-0.0010008099295920614
20097000000,-2.0697789041319057,-0.5033076898712339,-0.001000666618975677
20131000000,-2.067976690175563,-0.5026836609863555,-0.0010007670334019787
20164000000,-2.065880734759834,-0.5018946563586559,-0.0010009209580944464
20197000000,-2.0633744693586644,-0.500896576467665,-0.0010010685180595162
20233000000,-2.0602357284295074,-0.49958724708115654,-0.0010012280242228978
20268000000,-2.056738029871621,-0.49807474138442265,-0.0010012186096217505
20297000000,-2.052838189722583,-0.4963581379423557,-0.0010008195281526328
20335000000,-2.048349606262551,-0.49438234660869895,-0.0010010778040735156
20364000000,-2.044263900048877,-0.49259496873988384,-0.0010022233707051298
20397000000,-2.0408705140812664,-0.4911058277137059,-0.0010014603882593648
20431000000,-2.03725188631309,-0.4895028835184429,-0.0010011176710966324
20462000000,-2.034034421754959,-0.48805630412692097,-0.0010017891385225124
20497000000,-2.0309689641387547,-0.48665230732717324,-0.0010013232540554903
20531000000,-2.027662775823432,-0.48510104382240365,-0.0010015036464938037
20567000000,-2.0244030169406657,-0.4835384387354379,-0.0010015880403888497
20602000000,-2.0206697434631904,-0.48173744251212447,-0.0010015830758841743
20637000000,-2.0162137754154625,-0.4795680557827169,-0.0010017457391679682
20668000000,-2.011514404530651,-0.4772324926487195,-0.0010017601393325845
20695000000,-2.0067896876030025,-0.4748163541486893,-0.0010018704076167687
20731000000,-2.0019542728170485,-0.47227018703172785,-0.0010020753799668894
20766000000,-1.9972028216394404,-0.46968968954952245,-0.0010010278073935598
20803000000,-1.992315951738542,-0.4669299716402478,-0.0010011140794029122
20831000000,-1.9871664769007533,-0.4638915692586505,-0.0010011628679112462
20864000000,-1.9820696530020838,-0.46075282976097964,-0.001000662339083476
20893000000,-1.9768712238369448,-0.4574390643457583,-0.0010010166394658453
20931000000,-1.9713922846226037,-0.45381041545909134,-0.0010009698489128055
20964000000,-1.965828922488923,-0.4499578099408364,-0.0010009804468031763
20998000000,-1.9601520994495707,-0.44582230380663235,-0.0010012722600199093
21031000000,-1.9544100085373628,-0.44140722134924154,-0.0010012720367523
21064000000,-1.9491989919938935,-0.4371716634140286,-0.0010011944214451847
21097000000,-1.9442667470190675,-0.43289832803618516,-0.001001335103510012
21131000000,-1.9393289582132824,-0.4283326035290439,-0.0010014412224743328
21163000000,-1.9345070557568296,-0.42358551169524267,-0.0010016374801804472
21197000000,-1.929622820665013,-0.4185194115056802,-0.0010017860361727395
21232000000,-1.924743697047513,-0.41319555854717527,-0.001001100388610239
21265000000,-1.920134690038234,-0.4079008591877599,-0.0010015180165949718
21299000000,-1.9156602227417443,-0.4024824659803237,-0.0010015675339609606
21340000000,-1.9111991062307059,-0.39677974849318204,-0.001001618370266421
21364000000,-1.9071763827342063,-0.39135790674998977,-0.001001070235803269
21397000000,-1.9033785256305684,-0.38597464323711533,-0.001001939495890846
21431000000,-1.899616295251446,-0.3803511690730344,-0.0010013665213610308
21464000000,-1.8960590550555296,-0.3747254930519941,-0.001000799650897246
21497000000,-1.892592138096465,-0.36890645551618323,-0.0010008645226788175
21531000000,-1.8890775515432054,-0.36265243564902083,-0.0010013839972124183
