,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,348,348,"{'x': 1.1345668532110575, 'y': 3.254846257560406}","{'x': 0.18161540253387654, 'y': -0.9305116361309618}",0.15000000596046448,0:0
0,2,348,0,"{'x': 1.1345668532110575, 'y': 3.254846257560406}","{'x': 0.18161540253387654, 'y': -0.9305116361309618}",0.15000000596046448,0:0
0,3,348,0,"{'x': 1.1345668532110575, 'y': 3.254846257560406}","{'x': 0.18161540253387654, 'y': -0.9305116361309618}",0.15000000596046448,0:14
0,4,708,360,"{'x': 2.168878556213417, 'y': 3.433894936135802}","{'x': 0.07067457221612283, 'y': -1.4923214736248995}",0.15000000596046448,0:15
0,5,708,0,"{'x': 2.168878556213417, 'y': 3.433894936135802}","{'x': 0.07067457221612283, 'y': -1.4923214736248995}",0.15000000596046448,0:17
0,6,908,200,"{'x': 2.613204306892683, 'y': 3.393624691245366}","{'x': 0.07067457221612283, 'y': -1.7892150068375012}",0.15000000596046448,0:18
0,7,908,0,"{'x': 2.613204068474104, 'y': 3.393624691245366}","{'x': 0.07067457221612283, 'y': -1.7892150068375012}",0.15000000596046448,0:21
0,8,1019,111,"{'x': 2.8285163109820384, 'y': 3.074562339064885}","{'x': 0.07067457221612283, 'y': -1.7892150068375012}",0.15000000596046448,0:28
0,9,1183,164,"{'x': 3.5822214594381516, 'y': 2.4275013731837385}","{'x': 0.07067457221612283, 'y': -1.8500417517642838}",0.15000000596046448,0:28
0,10,1183,0,"{'x': 3.5822214594381516, 'y': 2.4275013731837385}","{'x': 0.07067457221612283, 'y': -1.8500417517642838}",0.15000000596046448,0:36
