,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,318,318,"{'x': 0.9337300936692459, 'y': 2.05246159275293}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:1
0,2,318,0,"{'x': 0.9337300936692459, 'y': 2.05246159275293}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:11
0,3,487,169,"{'x': 1.6542166979452504, 'y': 1.186905904554685}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:26
0,4,487,0,"{'x': 1.6650280129153499, 'y': 1.1829228376001515}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:26
0,5,487,0,"{'x': 1.6650280129153499, 'y': 1.1829228376001515}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:36
0,6,581,94,"{'x': 2.575616349463764, 'y': 1.6877720528815146}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:37
0,7,581,0,"{'x': 2.57562946820961, 'y': 1.6877867228355679}","{'x': -2.9337973719074997, 'y': -2.5524448932403363}",0.15000000596046448,0:45
0,8,804,223,"{'x': 3.4439780260284496, 'y': 2.0507080381099945}","{'x': -2.9365272772697617, 'y': -2.5552207137699376}",0.15000000596046448,0:50
0,9,804,0,"{'x': 3.4743692218499995, 'y': 2.3958746946454927}","{'x': -2.9365272772697617, 'y': -2.5552207137699376}",0.15000000596046448,1:4
0,10,925,121,"{'x': 4.284508506298534, 'y': 1.6633601102823246}","{'x': -2.9365272772697617, 'y': -2.561563970976031}",0.15000000596046448,1:40
0,11,925,0,"{'x': 4.28443849438947, 'y': 1.6639422122955128}","{'x': -2.9365272772697617, 'y': -2.561563970976031}",0.15000000596046448,1:40
0,12,925,0,"{'x': 4.28443849438947, 'y': 1.6639422122955128}","{'x': -2.9365272772697617, 'y': -2.561563970976031}",0.15000000596046448,2:12
0,13,990,65,"{'x': 2.371185691614409, 'y': 3.730739141404796}","{'x': -2.953825344165123, 'y': -2.561563970976031}",0.15000000596046448,2:12
