,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,160,160,"{'x': 1.7822038213387401, 'y': 2.330665168371595}","{'x': -2.7294463197365677, 'y': 2.59117645302733}",0.15000000596046448,0:0
0,2,160,0,"{'x': 1.7822038213387401, 'y': 2.330665168371595}","{'x': -2.7294463197365677, 'y': 2.59117645302733}",0.15000000596046448,0:0
0,3,160,0,"{'x': 1.7822038213387401, 'y': 2.330665168371595}","{'x': -2.7294463197365677, 'y': 2.59117645302733}",0.15000000596046448,0:18
0,4,652,492,"{'x': 3.990628059849711, 'y': 3.202564610570343}","{'x': -3.472509476723277, 'y': 0.04545352492409016}",0.15000000596046448,0:18
0,5,652,0,"{'x': 3.990628059849711, 'y': 3.202564610570343}","{'x': -3.472509476723277, 'y': 0.04545352492409016}",0.15000000596046448,0:19
0,6,652,0,"{'x': 3.990628059849711, 'y': 3.202564610570343}","{'x': -3.472509476723277, 'y': 0.04545352492409016}",0.15000000596046448,0:37
0,7,1265,613,"{'x': 2.524654765250243, 'y': 2.609875370575406}","{'x': -3.694196742469363, 'y': -1.7861761510126792}",0.15000000596046448,0:38
0,8,1265,0,"{'x': 2.524654765250243, 'y': 2.609875370575406}","{'x': -3.694196742469363, 'y': -1.7861761510126792}",0.15000000596046448,1:12
0,9,1265,0,"{'x': 2.5233674241323842, 'y': 2.608659972263791}","{'x': -3.694196742469363, 'y': -1.7861761510126792}",0.15000000596046448,1:46
0,10,1265,0,"{'x': 2.5233333302755727, 'y': 2.6085383787884493}","{'x': -3.694196742469363, 'y': -1.7861761510126792}",0.15000000596046448,1:47
0,11,1265,0,"{'x': 2.5233333302755727, 'y': 2.6085383787884493}","{'x': -3.694196742469363, 'y': -1.7861761510126792}",0.15000000596046448,1:57
0,12,1319,54,"{'x': 3.8939974336594076, 'y': 1.6052836290763612}","{'x': -3.7583386722269574, 'y': -1.7861761510126792}",0.15000000596046448,1:58
0,13,1319,0,"{'x': 3.8939974336594076, 'y': 1.6052836290763612}","{'x': -3.7583386722269574, 'y': -1.7861761510126792}",0.15000000596046448,1:58
0,14,1319,0,"{'x': 3.8939974336594076, 'y': 1.6052836290763612}","{'x': -3.7583386722269574, 'y': -1.7861761510126792}",0.15000000596046448,2:15
0,15,1332,13,"{'x': 3.321314870164303, 'y': 3.6594422406943248}","{'x': -3.7583386722269574, 'y': -1.7861761510126792}",0.15000000596046448,2:15
0,16,1332,0,"{'x': 3.321314870164303, 'y': 3.6594422406943248}","{'x': -3.7583386722269574, 'y': -1.7861761510126792}",0.15000000596046448,2:50
0,17,1332,0,"{'x': 3.321473148435859, 'y': 3.6608546323569224}","{'x': -3.7583386722269574, 'y': -1.7861761510126792}",0.15000000596046448,2:53
