,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,306,306,"{'x': 0.9354405521746303, 'y': 2.0600056126016875}","{'x': -2.9355287751904617, 'y': -2.5599948538860815}",0.15000000596046448,0:0
0,2,306,0,"{'x': 0.9354405521746303, 'y': 2.0600056126016875}","{'x': -2.9355287751904617, 'y': -2.5599948538860815}",0.15000000596046448,0:22
0,3,582,276,"{'x': 1.9002809389471298, 'y': 4.499876795369863}","{'x': -2.9428548001926447, 'y': -2.5627325775862237}",0.15000000596046448,0:41
0,4,798,216,"{'x': 2.261625398836185, 'y': 2.5682006553369163}","{'x': -2.9458618531968863, 'y': -2.5629726113141174}",0.15000000596046448,0:41
0,5,798,0,"{'x': 2.261625398836185, 'y': 2.5682006553369163}","{'x': -2.9458618531968863, 'y': -2.5629726113141174}",0.15000000596046448,0:41
0,6,798,0,"{'x': 2.261625398836185, 'y': 2.5682006553369163}","{'x': -2.9458618531968863, 'y': -2.5629726113141174}",0.15000000596046448,0:59
0,7,974,176,"{'x': 4.402004491088001, 'y': 1.6289233033547372}","{'x': -2.9458618531968863, 'y': -2.5629726113141174}",0.15000000596046448,1:0
0,8,974,0,"{'x': 4.402004491088001, 'y': 1.6289233033547372}","{'x': -2.9458618531968863, 'y': -2.5629726113141174}",0.15000000596046448,1:4
0,9,989,15,"{'x': 4.340481958405476, 'y': 1.3828542051789758}","{'x': -2.9458618531968863, 'y': -2.5629726113141174}",0.15000000596046448,1:5
