%time,field.x,field.y,field.z
1659363045027302980,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045083142757,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045105860948,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045164625167,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045193062543,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045248466491,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045276104450,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045329474210,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045357954025,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045410213708,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045443697214,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045493400096,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045545643329,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045595058202,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045638334989,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045702023506,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045771149158,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045771386623,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045836566448,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045836779594,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045902172565,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363045938134193,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046002629518,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046066912412,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046067010879,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046157953262,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046158126831,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046226278066,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046229746580,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046294130086,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046362366914,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046362540960,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046429146528,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046432528972,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046499147891,-6.865555769763887e-05,-7.49269311199896e-05,0.0
1659363046564863920,-6.865555769763887e-05,-7.49269311199896e-05,0.0
