,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,551,551,"{'x': 3.356862746355219, 'y': 3.1735484801652483}","{'x': -1.9514881001683908, 'y': -0.49359991182113205}",0.15000000596046448,0:0
0,2,551,0,"{'x': 3.356862746355219, 'y': 3.1735484801652483}","{'x': -1.9514881001683908, 'y': -0.49359991182113205}",0.15000000596046448,0:0
0,3,551,0,"{'x': 3.356862746355219, 'y': 3.1735484801652483}","{'x': -1.9514881001683908, 'y': -0.49359991182113205}",0.15000000596046448,0:12
0,4,768,217,"{'x': 3.598700522024745, 'y': 3.2034294872619946}","{'x': -2.5169745028055543, 'y': -1.5689910313593858}",0.15000000596046448,0:12
0,5,768,0,"{'x': 3.598700522024745, 'y': 3.2034294872619946}","{'x': -2.5169745028055543, 'y': -1.5689910313593858}",0.15000000596046448,0:12
0,6,768,0,"{'x': 3.598700522024745, 'y': 3.2034294872619946}","{'x': -2.5169745028055543, 'y': -1.5689910313593858}",0.15000000596046448,0:18
0,7,1021,253,"{'x': 3.2586521669979196, 'y': 3.402485077705361}","{'x': -2.58258102818857, 'y': -2.0834193868289823}",0.15000000596046448,0:18
0,8,1021,0,"{'x': 3.2586521669979196, 'y': 3.402485077705361}","{'x': -2.58258102818857, 'y': -2.0834193868289823}",0.15000000596046448,0:35
