%time,field.x,field.y,field.z
1659376599606994628,1.1498936414718628,0.14162103831768036,0.0
1659376599661448478,1.1499189138412476,0.1416216790676117,0.0
1659376599685056924,1.1499189138412476,0.1416216790676117,0.0
1659376599740360498,1.1499189138412476,0.1416216790676117,0.0
1659376599769134521,1.1498936414718628,0.14162103831768036,0.0
1659376599827057123,1.1498936414718628,0.14162103831768036,0.0
1659376599856592416,1.1498936414718628,0.14162103831768036,0.0
1659376599910713672,1.1498936414718628,0.14162103831768036,0.0
1659376599936820507,1.1498936414718628,0.14162103831768036,0.0
1659376599990525007,1.1498936414718628,0.14162103831768036,0.0
1659376600022210597,1.1499189138412476,0.1416216790676117,0.0
1659376600074098825,1.1499189138412476,0.1416216790676117,0.0
1659376600125413417,1.1498936414718628,0.14162103831768036,0.0
1659376600182103872,1.1498936414718628,0.14162103831768036,0.0
1659376600227432250,1.1498936414718628,0.14162103831768036,0.0
1659376600277655601,1.1498936414718628,0.14162103831768036,0.0
1659376600322268009,1.1498936414718628,0.14162103831768036,0.0
1659376600366816520,1.1498936414718628,0.14162103831768036,0.0
1659376600410200834,1.1498936414718628,0.14162103831768036,0.0
1659376600458445310,1.1499189138412476,0.1416216790676117,0.0
1659376600506301403,1.1499189138412476,0.1416216790676117,0.0
1659376600550535678,1.1498936414718628,0.14162103831768036,0.0
1659376600594320535,1.1498936414718628,0.14162103831768036,0.0
1659376600640209674,1.1499189138412476,0.1416216790676117,0.0
1659376600690117359,1.1498936414718628,0.14162103831768036,0.0
1659376600742174148,1.1498936414718628,0.14162103831768036,0.0
1659376600790560245,1.1498936414718628,0.14162103831768036,0.0
1659376600834291458,1.1498936414718628,0.14162103831768036,0.0
1659376600878983020,1.1499189138412476,0.1416216790676117,0.0
1659376600926622629,1.1498936414718628,0.14162103831768036,0.0
1659376600974359750,1.1498936414718628,0.14162103831768036,0.0
1659376601021140813,1.1498936414718628,0.14162103831768036,0.0
