,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,356,356,"{'x': 3.3375717018403774, 'y': 1.7535242836992473}","{'x': -2.4490690444268943, 'y': 2.0991919238050256}",0.15000000596046448,0:0
0,2,356,0,"{'x': 3.3375717018403774, 'y': 1.7535242836992473}","{'x': -2.4490690444268943, 'y': 2.0991919238050256}",0.15000000596046448,0:0
0,3,356,0,"{'x': 3.3375717018403774, 'y': 1.7535242836992473}","{'x': -2.4490690444268943, 'y': 2.0991919238050256}",0.15000000596046448,0:9
0,4,463,107,"{'x': 2.6309016345441996, 'y': 3.241320777449967}","{'x': -2.5429818896949925, 'y': 0.4262636418005221}",0.15000000596046448,0:9
0,5,463,0,"{'x': 2.6309016345441996, 'y': 3.241320777449967}","{'x': -2.5429818896949925, 'y': 0.4262636418005221}",0.15000000596046448,0:16
0,6,667,204,"{'x': 2.40122979733317, 'y': 2.8470607421986154}","{'x': -3.322277715744518, 'y': 0.4262636418005221}",0.15000000596046448,0:17
0,7,667,0,"{'x': 2.580600737064768, 'y': 2.879976334392219}","{'x': -3.322277715744518, 'y': 0.4262636418005221}",0.15000000596046448,0:25
0,8,1062,395,"{'x': 3.5639488118720406, 'y': 3.1708588691488244}","{'x': -4.142654821666654, 'y': -0.5347530599068611}",0.15000000596046448,0:30
0,9,1062,0,"{'x': 3.0148349422049874, 'y': 3.62654591519985}","{'x': -4.142654821666654, 'y': -0.5347530599068611}",0.15000000596046448,0:45
0,10,1304,242,"{'x': 1.863402270647851, 'y': 2.094877898056549}","{'x': -4.206355566188383, 'y': -0.9668053070179523}",0.15000000596046448,0:45
0,11,1304,0,"{'x': 1.863402270647851, 'y': 2.094877898056549}","{'x': -4.206355566188383, 'y': -0.9668053070179523}",0.15000000596046448,1:12
