%time,field.x,field.y,field.z
1659373955941979646,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373955965104103,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373956020655155,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373956049242734,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373956105057477,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373956157478094,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373956210450887,-0.00010385570203652605,-1.3476373169396538e-05,0.0
1659373956235368967,-7.957235357025638e-05,-6.338466846500523e-06,0.0
1659373956289920091,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956322026968,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956377188205,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956431696891,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956483093261,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956506821393,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956561574697,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956610032796,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956658227920,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956706114053,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956753066062,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956802345037,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956846421718,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956889971971,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956934297323,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373956982556343,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957025676012,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957069740533,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957118499994,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957165794372,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957215862989,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957215975761,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957261382579,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957289595127,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957345019102,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957395871639,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957584604263,-0.00010385583300376311,-1.3475935702444986e-05,0.0
1659373957585253953,-7.957316120155156e-05,-6.335719263006467e-06,0.0
1659373957593261480,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957593695402,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957642508268,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957671351909,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957731346607,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957774375677,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957818591594,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957870462417,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957936531543,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373957977630615,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373958021883726,-0.00010385549830971286,-1.3477085303748026e-05,0.0
1659373958066010713,-0.00010385549830971286,-1.3477085303748026e-05,0.0
