,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,384,384,"{'x': 1.5287859852658103, 'y': 2.6399516219089594}","{'x': -3.164765280042727, 'y': -1.7633244151065917}",0.15000000596046448,0:0
0,2,384,0,"{'x': 1.5287859852658103, 'y': 2.6399516219089594}","{'x': -3.164765280042727, 'y': -1.7633244151065917}",0.15000000596046448,0:23
0,3,1155,771,"{'x': 4.0287614991394, 'y': 3.806864728348648}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,0:23
0,4,1155,0,"{'x': 4.0287614991394, 'y': 3.806864728348648}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,0:38
0,5,1217,62,"{'x': 5.193594655168246, 'y': 5.623926929573157}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,0:38
0,6,1217,0,"{'x': 5.193594655168246, 'y': 5.623926929573157}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,1:20
0,7,1302,85,"{'x': 2.3886954943841054, 'y': 5.673517316558026}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,1:54
0,8,1302,0,"{'x': 2.3881379748886182, 'y': 5.673095792510175}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,1:55
0,9,1302,0,"{'x': 2.3881379748886182, 'y': 5.673095792510175}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,1:55
0,10,1302,0,"{'x': 2.3881379748886182, 'y': 5.673095792510175}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,2:15
0,11,1302,0,"{'x': 2.388070584387119, 'y': 5.673321098067426}","{'x': -3.208327568398258, 'y': -1.9654119698081538}",0.15000000596046448,2:31
