,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,299,299,"{'x': 3.1668984478952886, 'y': 1.8809010524208465}","{'x': -3.167994761469569, 'y': -1.8757406645648278}",0.15000000596046448,0:0
0,2,299,0,"{'x': 3.1668984478952886, 'y': 1.8809010524208465}","{'x': -3.167994761469569, 'y': -1.8757406645648278}",0.15000000596046448,0:5
0,3,446,147,"{'x': 3.269066805268946, 'y': 2.177109770113375}","{'x': -3.896775794092451, 'y': -1.8859965048458684}",0.15000000596046448,0:5
0,4,446,0,"{'x': 3.2688986845875405, 'y': 2.1771211689155354}","{'x': -3.896775794092451, 'y': -1.8859965048458684}",0.15000000596046448,0:13
0,5,446,0,"{'x': 4.05361419895296, 'y': 2.042400329100824}","{'x': -3.896775794092451, 'y': -1.8859965048458684}",0.15000000596046448,0:20
0,6,504,58,"{'x': 4.414518509414953, 'y': 1.0433328083606874}","{'x': -3.896775794092451, 'y': -1.8859965048458684}",0.15000000596046448,0:22
0,7,504,0,"{'x': 4.476715607413921, 'y': 0.9259917523502749}","{'x': -3.896775794092451, 'y': -1.8859965048458684}",0.15000000596046448,0:22
0,8,504,0,"{'x': 4.47665195585131, 'y': 0.9260732338437639}","{'x': -3.896775794092451, 'y': -1.8859965048458684}",0.15000000596046448,0:26
0,9,546,42,"{'x': 4.8104408236981095, 'y': 2.4921959604983064}","{'x': -3.896775794092451, 'y': -3.8178126825270327}",0.15000000596046448,0:37
0,10,626,80,"{'x': 4.835978176856276, 'y': 3.3452673222850757}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:37
0,11,626,0,"{'x': 4.835978176856276, 'y': 3.3452673222850757}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:42
0,12,651,25,"{'x': 4.864255647460458, 'y': 3.695058602506184}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:42
0,13,651,0,"{'x': 4.864296743271259, 'y': 3.6950709754890565}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:49
0,14,745,94,"{'x': 5.063040727510346, 'y': 2.7154726942553133}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:52
0,15,745,0,"{'x': 5.256744343841445, 'y': 2.511676312608573}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:53
0,16,745,0,"{'x': 5.256871095192174, 'y': 2.5116939812018875}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,0:58
0,17,845,100,"{'x': 5.499907010815527, 'y': 2.262668996966803}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,1:0
0,18,845,0,"{'x': 5.566934705806342, 'y': 2.591610992054056}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,1:11
0,19,937,92,"{'x': 5.8583014094036105, 'y': 2.486646046456748}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,1:12
0,20,937,0,"{'x': 5.8583014094036105, 'y': 2.486646046456748}","{'x': -3.896775794092451, 'y': -3.8257724089640948}",0.15000000596046448,1:16
0,21,1009,72,"{'x': 6.456736630822903, 'y': 2.6397627018016423}","{'x': -3.896775794092451, 'y': -3.8312167628421534}",0.15000000596046448,1:19
0,22,1009,0,"{'x': 6.761898438745217, 'y': 2.9910973510265055}","{'x': -3.896775794092451, 'y': -3.8312167628421534}",0.15000000596046448,1:22
0,23,1112,103,"{'x': 6.628668229082755, 'y': 3.29475600267721}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:23
0,24,1112,0,"{'x': 6.628787958383358, 'y': 3.2946681165689764}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:32
0,25,1170,58,"{'x': 7.072170603469144, 'y': 2.3655736175250395}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:32
0,26,1170,0,"{'x': 7.072145773491377, 'y': 2.3656126614047244}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:39
0,27,1272,102,"{'x': 7.83168311662961, 'y': 2.578651741017446}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:42
0,28,1272,0,"{'x': 8.256445316916853, 'y': 2.649773053807868}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:42
0,29,1272,0,"{'x': 8.256409966443046, 'y': 2.6497913712302554}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:46
0,30,1336,64,"{'x': 8.41596074976173, 'y': 2.272639083613158}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:47
0,31,1336,0,"{'x': 8.415960560476048, 'y': 2.2726111728162564}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:50
0,32,1336,0,"{'x': 8.567147344624837, 'y': 2.139296707830864}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,1:58
0,33,1357,21,"{'x': 8.083662495067069, 'y': 3.0613520873597055}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,2:9
0,34,1385,28,"{'x': 8.33105762497522, 'y': 1.6139463901743847}","{'x': -3.896775794092451, 'y': -3.8397648517353087}",0.15000000596046448,2:20
